,OpSetting1,OpSetting2,OpSetting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21
2020-02-06,42.0029,0.84,100.0,445.0,549.81,1352.72,1126.23,3.91,5.71,137.81,2211.59,8301.22,1.02,42.05,130.41,2387.64,8076.44,9.3871,0.02,331,2212,100.0,10.51,6.3394
2020-02-07,0.0015,0.001,100.0,518.67,642.7,1585.52,1402.63,14.62,21.61,553.93,2388.12,9038.84,1.3,47.34,521.29,2388.16,8121.09,8.3892,0.03,393,2388,100.0,39.04,23.2694
2020-02-08,20.0003,0.7,100.0,491.19,607.67,1488.74,1256.1,9.35,13.65,335.33,2323.87,8710.39,1.08,44.43,314.77,2388.04,8048.52,9.1968,0.02,365,2324,100.0,24.4,14.7202
2020-02-09,42.002,0.8407,100.0,445.0,549.47,1352.69,1121.2,3.91,5.71,138.6,2211.59,8312.22,1.02,42.11,130.6,2387.69,8070.37,9.3905,0.02,330,2212,100.0,10.69,6.323
2020-02-10,10.0038,0.2513,100.0,489.05,604.57,1501.72,1305.97,10.52,15.49,395.21,2318.87,8765.1,1.26,45.49,372.03,2388.14,8118.56,8.6079,0.03,369,2319,100.0,28.54,17.1272
2020-02-11,35.0053,0.8419,100.0,449.44,555.56,1362.41,1126.95,5.48,8.0,194.44,2222.76,8336.74,1.02,41.74,182.78,2387.76,8053.94,9.3232,0.02,332,2223,100.0,14.96,8.9446
2020-02-12,25.0077,0.6217,60.0,462.54,536.25,1260.07,1053.0,7.05,9.02,175.21,1915.12,8005.82,0.94,36.73,164.53,2028.03,7857.51,10.8616,0.02,307,1915,84.93,14.07,8.5935
2020-02-13,34.9996,0.8404,100.0,449.44,555.45,1365.15,1135.62,5.48,8.0,193.77,2222.7,8336.57,1.02,41.98,182.72,2387.72,8052.73,9.3419,0.02,334,2223,100.0,14.99,8.9676
2020-02-14,42.0018,0.84,100.0,445.0,549.07,1349.47,1134.82,3.91,5.71,138.72,2211.59,8300.02,1.02,42.02,130.42,2387.63,8070.7,9.3798,0.02,332,2212,100.0,10.49,6.4195
2020-02-15,20.002,0.7015,100.0,491.19,607.9,1482.44,1255.75,9.35,13.66,334.43,2323.94,8708.9,1.08,44.43,314.85,2388.08,8047.01,9.2623,0.02,366,2324,100.0,24.46,14.6601
2020-02-16,42.0028,0.8403,100.0,445.0,549.68,1350.29,1130.26,3.91,5.72,137.93,2211.59,8303.44,1.02,42.28,129.98,2387.62,8071.57,9.3824,0.02,331,2212,100.0,10.56,6.3982
2020-02-17,42.0043,0.8419,100.0,445.0,549.58,1352.73,1129.43,3.91,5.71,138.79,2211.58,8300.2,1.02,42.01,130.79,2387.72,8069.93,9.3587,0.02,330,2212,100.0,10.58,6.4241
2020-02-18,41.9987,0.8416,100.0,445.0,549.44,1347.47,1126.3,3.91,5.71,138.55,2211.59,8300.28,1.02,41.97,130.48,2387.76,8070.05,9.3398,0.02,331,2212,100.0,10.56,6.4308
2020-02-19,42.0011,0.84,100.0,445.0,550.18,1352.82,1127.92,3.91,5.72,138.21,2211.59,8308.75,1.02,42.03,130.17,2387.64,8069.53,9.3807,0.02,332,2212,100.0,10.48,6.3598
2020-02-20,42.0063,0.84,100.0,445.0,549.42,1350.32,1122.44,3.91,5.72,139.02,2211.59,8306.69,1.02,42.25,130.73,2387.64,8066.98,9.348,0.02,332,2212,100.0,10.55,6.4923
2020-02-21,42.0001,0.8402,100.0,445.0,549.36,1357.42,1125.15,3.91,5.71,138.68,2211.71,8308.9,1.02,42.16,130.42,2387.67,8072.18,9.3704,0.02,331,2212,100.0,10.62,6.3448
2020-02-22,25.0058,0.6206,60.0,462.54,537.01,1263.21,1048.03,7.05,9.02,176.05,1915.13,7998.23,0.94,36.77,164.3,2027.94,7859.12,10.9077,0.02,308,1915,84.93,14.27,8.6005
2020-02-23,0.0022,0.0,100.0,518.67,643.04,1589.28,1403.5,14.62,21.61,554.08,2388.13,9037.52,1.3,47.65,521.17,2388.14,8122.45,8.4871,0.03,392,2388,100.0,38.93,23.2184
2020-02-24,0.0007,0.0,100.0,518.67,642.48,1599.79,1415.68,14.62,21.61,553.49,2388.1,9039.24,1.3,47.33,521.33,2388.07,8121.25,8.4545,0.03,390,2388,100.0,38.73,23.1713
2020-02-25,20.006,0.7011,100.0,491.19,607.78,1485.69,1244.78,9.35,13.65,334.53,2323.89,8713.7,1.08,44.35,314.92,2388.06,8043.8,9.2372,0.02,365,2324,100.0,24.43,14.6832
2020-02-26,10.005,0.25,100.0,489.05,605.13,1504.85,1310.94,10.52,15.49,394.19,2318.93,8760.33,1.26,45.41,371.28,2388.16,8117.91,8.6276,0.03,368,2319,100.0,28.5,17.0825
2020-02-27,10.0038,0.25,100.0,489.05,604.69,1509.93,1317.2,10.52,15.5,394.21,2318.93,8763.76,1.26,45.32,372.0,2388.1,8118.93,8.6558,0.03,369,2319,100.0,28.65,17.2355
2020-02-28,0.0028,0.0,100.0,518.67,643.13,1583.81,1404.98,14.62,21.61,553.55,2388.11,9039.84,1.3,47.61,521.55,2388.13,8126.15,8.4411,0.03,393,2388,100.0,39.01,23.2935
2020-02-29,0.0012,0.0008,100.0,518.67,642.24,1587.04,1406.72,14.62,21.61,553.6,2388.15,9036.68,1.3,47.57,521.15,2388.13,8116.33,8.4196,0.03,392,2388,100.0,39.02,23.2997
2020-03-01,10.0066,0.251,100.0,489.05,605.25,1504.23,1306.63,10.52,15.49,394.24,2319.01,8765.65,1.26,45.48,371.35,2388.15,8114.43,8.6566,0.03,368,2319,100.0,28.74,17.1825
2020-03-02,25.005,0.62,60.0,462.54,536.95,1271.16,1051.62,7.05,9.03,175.67,1915.18,7998.94,0.94,36.91,164.61,2027.94,7867.76,10.8817,0.02,307,1915,84.93,14.25,8.6697
2020-03-03,10.0076,0.25,100.0,489.05,604.84,1500.86,1311.0,10.52,15.49,394.31,2318.93,8764.83,1.26,45.41,371.34,2388.15,8109.56,8.6536,0.03,369,2319,100.0,28.4,17.1937
2020-03-04,24.9987,0.62,60.0,462.54,536.76,1261.64,1045.94,7.05,9.02,176.01,1915.16,8003.33,0.94,36.82,164.32,2027.95,7862.53,10.9054,0.02,306,1915,84.93,14.23,8.5581
2020-03-05,24.9981,0.6211,60.0,462.54,536.66,1267.66,1057.66,7.05,9.02,176.03,1915.13,7994.34,0.94,36.57,164.19,2027.95,7865.11,10.9318,0.02,307,1915,84.93,14.44,8.6205
2020-03-06,10.0065,0.25,100.0,489.05,605.17,1505.09,1312.97,10.52,15.49,394.37,2318.94,8770.13,1.26,45.57,371.16,2388.16,8111.91,8.6373,0.03,370,2319,100.0,28.55,17.0936
2020-03-07,25.0051,0.6211,60.0,462.54,536.74,1261.81,1048.78,7.05,9.02,175.76,1915.12,7997.12,0.94,36.95,164.97,2028.03,7862.39,10.8998,0.02,307,1915,84.93,14.37,8.5433
2020-03-08,35.0029,0.84,100.0,449.44,555.34,1365.14,1136.45,5.48,8.0,194.88,2222.69,8335.88,1.02,41.9,182.74,2387.72,8057.2,9.3769,0.02,334,2223,100.0,14.66,8.874
2020-03-09,42.0037,0.8409,100.0,445.0,549.78,1350.28,1127.59,3.91,5.71,138.88,2211.61,8309.94,1.02,41.95,131.44,2387.65,8070.12,9.3745,0.02,331,2212,100.0,10.58,6.3839
2020-03-10,0.0002,0.0,100.0,518.67,642.57,1582.9,1405.22,14.62,21.61,552.97,2388.16,9037.76,1.3,47.65,521.63,2388.16,8128.64,8.4635,0.03,393,2388,100.0,38.81,23.2704
2020-03-11,35.0033,0.84,100.0,449.44,555.28,1370.22,1129.04,5.48,8.0,194.41,2222.66,8338.36,1.02,41.91,182.67,2387.74,8051.91,9.3577,0.02,334,2223,100.0,14.82,9.0246
2020-03-12,42.0046,0.84,100.0,445.0,549.44,1354.85,1125.95,3.91,5.71,138.16,2211.61,8309.66,1.02,42.15,130.9,2387.63,8071.22,9.3717,0.02,331,2212,100.0,10.63,6.3498
2020-03-13,10.0049,0.25,100.0,489.05,605.01,1500.08,1309.65,10.52,15.5,394.09,2318.95,8763.1,1.26,45.52,371.27,2388.23,8115.46,8.6394,0.03,371,2319,100.0,28.57,17.1489
2020-03-14,0.0004,0.0014,100.0,518.67,643.26,1588.58,1402.51,14.62,21.61,552.61,2388.16,9037.94,1.3,47.54,521.5,2388.12,8123.03,8.4318,0.03,392,2388,100.0,38.89,23.3464
2020-03-15,41.9986,0.8402,100.0,445.0,549.93,1354.55,1132.5,3.91,5.71,138.81,2211.6,8305.4,1.02,42.11,130.12,2387.7,8068.7,9.3749,0.02,330,2212,100.0,10.44,6.4362
2020-03-16,35.0059,0.8401,100.0,449.44,554.89,1369.48,1126.96,5.48,8.0,195.16,2222.7,8335.17,1.02,41.93,182.99,2387.77,8054.31,9.3186,0.02,334,2223,100.0,14.85,8.9934
2020-03-17,24.9994,0.621,60.0,462.54,536.75,1263.03,1051.85,7.05,9.02,175.05,1915.11,7995.32,0.94,36.63,164.42,2027.98,7863.73,10.8934,0.02,306,1915,84.93,14.22,8.6027
2020-03-18,42.0015,0.8404,100.0,445.0,549.86,1354.41,1129.39,3.91,5.72,138.47,2211.53,8298.45,1.02,42.04,130.76,2387.65,8067.52,9.3789,0.02,331,2212,100.0,10.53,6.3364
2020-03-19,10.0061,0.25,100.0,489.05,605.05,1501.82,1311.23,10.52,15.49,394.68,2318.99,8759.83,1.26,45.29,371.26,2388.21,8114.12,8.6412,0.03,371,2319,100.0,28.49,17.1087
2020-03-20,0.002,0.0,100.0,518.67,642.82,1587.15,1399.85,14.62,21.61,552.86,2388.1,9034.62,1.3,47.64,521.56,2388.05,8122.66,8.4297,0.03,393,2388,100.0,38.88,23.254
2020-03-21,0.0018,0.0,100.0,518.67,642.91,1587.27,1404.67,14.62,21.61,553.61,2388.12,9043.32,1.3,47.52,521.06,2388.1,8120.28,8.5013,0.03,392,2388,100.0,38.86,23.2777
2020-03-22,42.0043,0.84,100.0,445.0,549.51,1345.58,1135.74,3.91,5.71,138.52,2211.57,8304.33,1.02,42.23,130.29,2387.59,8073.22,9.3868,0.02,332,2212,100.0,10.59,6.4427
2020-03-23,20.0046,0.7003,100.0,491.19,606.65,1486.48,1255.67,9.35,13.65,334.77,2323.93,8713.81,1.08,44.4,314.39,2388.05,8048.96,9.2407,0.02,365,2324,100.0,24.68,14.6122
2020-03-24,35.0031,0.84,100.0,449.44,555.58,1371.01,1133.15,5.48,8.0,193.74,2222.67,8334.28,1.02,42.06,182.41,2387.75,8056.45,9.3193,0.02,334,2223,100.0,14.73,8.8635
2020-03-25,42.0053,0.8412,100.0,445.0,549.36,1352.92,1125.09,3.91,5.71,138.73,2211.56,8303.55,1.02,42.2,130.35,2387.66,8064.02,9.368,0.02,330,2212,100.0,10.45,6.3491
2020-03-26,25.002,0.62,60.0,462.54,537.03,1262.69,1047.52,7.05,9.02,175.0,1915.12,7999.59,0.94,36.74,164.32,2028.02,7864.81,10.8843,0.02,308,1915,84.93,14.31,8.6567
2020-03-27,20.0011,0.7,100.0,491.19,607.51,1481.61,1253.1,9.35,13.65,334.33,2323.98,8707.14,1.07,44.47,315.14,2388.06,8045.61,9.2412,0.02,367,2324,100.0,24.53,14.6998
2020-03-28,0.0029,0.0,100.0,518.67,643.24,1591.46,1405.31,14.62,21.61,553.34,2388.14,9040.41,1.3,47.54,521.83,2388.21,8117.75,8.4424,0.03,392,2388,100.0,38.83,23.1994
2020-03-29,41.9992,0.8413,100.0,445.0,550.1,1355.17,1123.54,3.91,5.71,138.41,2211.53,8311.01,1.02,42.27,130.96,2387.6,8066.56,9.362,0.02,331,2212,100.0,10.36,6.3852
2020-03-30,35.0052,0.8406,100.0,449.44,555.71,1359.17,1129.99,5.48,8.0,193.78,2222.73,8340.5,1.02,42.2,183.37,2387.79,8055.84,9.3277,0.02,334,2223,100.0,14.76,8.8812
2020-03-31,0.0016,0.0006,100.0,518.67,642.62,1596.62,1404.65,14.62,21.61,553.42,2388.18,9040.81,1.3,47.55,521.0,2388.11,8127.28,8.4554,0.03,394,2388,100.0,38.73,23.1253
2020-04-01,35.0053,0.84,100.0,449.44,555.55,1371.45,1128.96,5.48,8.0,194.45,2222.68,8341.42,1.02,42.25,182.98,2387.74,8055.26,9.3331,0.02,334,2223,100.0,14.92,8.8907
2020-04-02,10.0015,0.25,100.0,489.05,605.01,1504.34,1311.13,10.52,15.49,392.95,2318.99,8763.55,1.26,45.64,371.09,2388.19,8111.05,8.6675,0.03,372,2319,100.0,28.47,17.1321
2020-04-03,0.0,0.0,100.0,518.67,642.88,1586.74,1409.1,14.62,21.61,554.08,2388.1,9043.13,1.3,47.58,521.51,2388.15,8120.24,8.478,0.03,394,2388,100.0,38.9,23.2609
2020-04-04,0.0009,0.0009,100.0,518.67,642.48,1591.9,1409.85,14.62,21.61,552.82,2388.15,9042.91,1.3,47.63,521.43,2388.08,8125.99,8.4428,0.03,392,2388,100.0,38.9,23.2975
2020-04-05,42.0024,0.8411,100.0,445.0,549.91,1352.21,1125.0,3.91,5.72,139.43,2211.62,8303.98,1.02,42.04,130.67,2387.57,8073.45,9.3926,0.02,330,2212,100.0,10.53,6.4002
2020-04-06,20.0074,0.7,100.0,491.19,607.44,1482.17,1253.33,9.35,13.65,334.53,2323.93,8712.14,1.08,44.5,314.82,2388.01,8054.48,9.2346,0.02,365,2324,100.0,24.4,14.6559
2020-04-07,25.0057,0.62,60.0,462.54,536.96,1260.81,1040.99,7.05,9.02,175.52,1915.1,7996.85,0.94,36.92,164.35,2028.03,7859.5,10.8678,0.02,307,1915,84.93,14.24,8.6689
2020-04-08,25.0025,0.6217,60.0,462.54,536.57,1260.77,1050.42,7.05,9.03,176.3,1915.13,8004.96,0.94,36.85,164.95,2028.04,7864.94,10.8815,0.02,308,1915,84.93,14.16,8.6025
2020-04-09,20.0033,0.702,100.0,491.19,607.16,1485.05,1253.12,9.35,13.65,334.09,2323.95,8704.89,1.08,44.36,314.49,2388.09,8048.84,9.2487,0.03,366,2324,100.0,24.33,14.689
2020-04-10,25.0039,0.62,60.0,462.54,536.43,1258.23,1049.25,7.05,9.02,175.13,1915.07,7995.45,0.94,36.81,164.46,2027.99,7864.99,10.894,0.02,308,1915,84.93,14.19,8.5761
2020-04-11,25.0023,0.62,60.0,462.54,537.02,1268.7,1049.71,7.05,9.03,176.05,1915.11,8003.74,0.94,36.81,164.05,2028.03,7863.25,10.9035,0.02,308,1915,84.93,14.2,8.6043
2020-04-12,42.0008,0.8405,100.0,445.0,549.99,1356.65,1129.01,3.91,5.71,137.8,2211.59,8304.05,1.02,42.07,130.41,2387.63,8071.77,9.3571,0.02,330,2212,100.0,10.59,6.4279
2020-04-13,25.0024,0.62,60.0,462.54,536.41,1262.7,1048.63,7.05,9.03,175.2,1915.15,8000.19,0.94,36.71,164.53,2027.99,7865.97,10.9131,0.02,308,1915,84.93,14.15,8.5599
2020-04-14,42.0017,0.84,100.0,445.0,549.7,1354.71,1120.3,3.91,5.71,138.79,2211.6,8303.68,1.02,42.15,130.63,2387.63,8065.68,9.3851,0.02,333,2212,100.0,10.71,6.3779
2020-04-15,42.0037,0.84,100.0,445.0,549.39,1362.36,1135.78,3.91,5.71,138.94,2211.57,8304.73,1.02,42.19,130.11,2387.63,8069.07,9.4237,0.02,330,2212,100.0,10.61,6.4276
2020-04-16,20.0011,0.7,100.0,491.19,607.61,1491.73,1263.49,9.35,13.66,335.04,2323.94,8708.2,1.08,44.52,314.39,2388.05,8049.96,9.2411,0.02,366,2324,100.0,24.45,14.6586
2020-04-17,0.0027,0.0008,100.0,518.67,643.26,1588.99,1407.97,14.62,21.61,552.85,2388.2,9039.16,1.3,47.84,521.02,2388.16,8126.13,8.4342,0.03,395,2388,100.0,38.63,23.2127
2020-04-18,42.0068,0.84,100.0,445.0,549.11,1352.66,1135.18,3.91,5.71,138.17,2211.6,8301.72,1.02,42.07,130.25,2387.66,8068.96,9.3919,0.02,332,2212,100.0,10.39,6.2655
2020-04-19,41.9983,0.84,100.0,445.0,549.65,1352.66,1134.46,3.91,5.71,138.3,2211.59,8300.56,1.02,42.26,130.73,2387.66,8069.87,9.3779,0.02,332,2212,100.0,10.64,6.4574
2020-04-20,0.0,0.0011,100.0,518.67,642.74,1587.82,1409.12,14.62,21.61,553.48,2388.1,9041.37,1.3,47.68,521.22,2388.2,8118.69,8.4494,0.03,393,2388,100.0,38.88,23.2781
2020-04-21,42.0045,0.84,100.0,445.0,549.23,1357.31,1129.9,3.91,5.71,138.09,2211.6,8307.89,1.02,42.1,130.21,2387.58,8074.9,9.3934,0.02,332,2212,100.0,10.58,6.2943
2020-04-22,42.0024,0.8413,100.0,445.0,549.92,1353.15,1123.53,3.91,5.72,138.61,2211.56,8309.33,1.02,42.3,130.28,2387.61,8072.4,9.3545,0.02,331,2212,100.0,10.49,6.3436
2020-04-23,35.0043,0.8416,100.0,449.44,555.62,1368.09,1125.3,5.48,8.0,194.0,2222.68,8338.97,1.02,42.1,182.76,2387.78,8051.96,9.383,0.02,335,2223,100.0,14.61,8.8893
2020-04-24,9.9995,0.2514,100.0,489.05,605.25,1504.64,1312.96,10.52,15.5,393.97,2319.06,8763.25,1.26,45.65,371.25,2388.2,8113.05,8.6515,0.03,369,2319,100.0,28.72,17.1524
2020-04-25,0.0003,0.0,100.0,518.67,642.95,1588.98,1409.61,14.62,21.61,553.31,2388.13,9041.44,1.3,47.61,520.9,2388.14,8127.02,8.4451,0.03,396,2388,100.0,38.74,23.1633
2020-04-26,25.0027,0.62,60.0,462.54,536.99,1266.82,1051.87,7.05,9.02,175.02,1915.11,8001.0,0.94,36.97,165.07,2028.02,7863.25,10.9231,0.02,308,1915,84.93,14.17,8.5937
2020-04-27,41.9984,0.8411,100.0,445.0,548.99,1352.89,1137.5,3.91,5.71,138.58,2211.59,8317.33,1.02,42.26,130.61,2387.58,8072.97,9.3743,0.02,332,2212,100.0,10.54,6.3763
2020-04-28,20.0005,0.7009,100.0,491.19,608.0,1486.6,1260.39,9.35,13.66,334.76,2323.95,8717.43,1.08,44.58,314.62,2388.08,8054.57,9.2455,0.02,366,2324,100.0,24.43,14.6864
2020-04-29,41.9992,0.84,100.0,445.0,550.1,1353.17,1126.68,3.91,5.72,139.02,2211.61,8305.16,1.02,42.11,129.63,2387.68,8066.0,9.436,0.02,331,2212,100.0,10.67,6.3511
2020-04-30,35.0058,0.8403,100.0,449.44,555.64,1369.57,1136.49,5.48,8.0,193.87,2222.64,8339.32,1.02,42.0,182.37,2387.76,8058.75,9.3649,0.02,335,2223,100.0,14.8,8.8716
2020-05-01,42.0062,0.8402,100.0,445.0,549.65,1358.37,1125.38,3.91,5.71,139.0,2211.54,8308.02,1.02,42.2,130.49,2387.55,8067.54,9.3981,0.02,330,2212,100.0,10.49,6.3469
2020-05-02,42.0015,0.8413,100.0,445.0,549.43,1354.86,1127.44,3.91,5.71,138.91,2211.66,8314.36,1.02,42.39,130.44,2387.63,8071.46,9.3681,0.02,329,2212,100.0,10.75,6.3409
2020-05-03,0.0025,0.0015,100.0,518.67,643.26,1593.43,1409.77,14.62,21.61,553.19,2388.13,9048.15,1.3,47.49,521.22,2388.17,8124.58,8.4587,0.03,395,2388,100.0,38.62,23.3025
2020-05-04,10.0051,0.2502,100.0,489.05,604.97,1501.19,1309.55,10.52,15.5,393.8,2319.04,8763.64,1.26,45.62,371.05,2388.25,8119.05,8.6636,0.03,369,2319,100.0,28.53,17.1145
2020-05-05,20.0027,0.7,100.0,491.19,607.6,1488.43,1259.11,9.35,13.66,333.85,2323.93,8704.26,1.08,44.83,314.17,2388.06,8048.36,9.249,0.03,367,2324,100.0,24.51,14.6742
2020-05-06,42.0021,0.84,100.0,445.0,549.99,1349.48,1135.38,3.91,5.72,138.37,2211.56,8308.89,1.02,42.19,130.44,2387.62,8066.89,9.3842,0.02,330,2212,100.0,10.5,6.4038
2020-05-07,35.0063,0.84,100.0,449.44,555.9,1376.66,1139.31,5.48,8.0,194.2,2222.67,8342.95,1.02,42.19,182.22,2387.77,8059.02,9.3595,0.02,334,2223,100.0,14.86,8.8523
2020-05-08,20.0057,0.701,100.0,491.19,607.32,1495.89,1258.36,9.35,13.66,334.38,2323.93,8704.52,1.08,44.51,314.23,2388.13,8045.91,9.2488,0.03,366,2324,100.0,24.22,14.7405
2020-05-09,35.0078,0.84,100.0,449.44,556.29,1362.75,1129.45,5.48,8.0,194.42,2222.7,8337.45,1.02,42.13,182.92,2387.77,8056.86,9.3655,0.02,335,2223,100.0,14.81,8.9265
2020-05-10,20.0052,0.7,100.0,491.19,607.04,1487.94,1261.08,9.35,13.66,334.66,2323.99,8712.03,1.08,44.71,314.16,2388.1,8045.38,9.258,0.03,364,2324,100.0,24.37,14.5177
2020-05-11,0.0008,0.0019,100.0,518.67,643.12,1590.38,1414.45,14.62,21.61,552.97,2388.16,9041.7,1.3,47.65,520.52,2388.12,8122.68,8.4556,0.03,394,2388,100.0,38.68,23.2542
2020-05-12,35.0037,0.8411,100.0,449.44,555.85,1365.7,1139.21,5.48,8.0,193.72,2222.69,8344.36,1.02,42.1,183.02,2387.8,8064.94,9.3838,0.02,337,2223,100.0,14.85,8.9967
2020-05-13,41.9998,0.8414,100.0,445.0,550.09,1362.34,1133.92,3.91,5.71,137.57,2211.58,8316.05,1.02,42.25,130.73,2387.7,8066.37,9.3829,0.02,331,2212,100.0,10.42,6.3999
2020-05-14,41.9991,0.8419,100.0,445.0,549.88,1360.26,1137.95,3.91,5.72,138.15,2211.59,8309.36,1.02,42.32,130.97,2387.66,8063.48,9.3712,0.02,332,2212,100.0,10.47,6.3742
2020-05-15,20.0074,0.7019,100.0,491.19,607.79,1489.6,1267.13,9.35,13.66,333.74,2323.96,8709.6,1.07,44.57,314.53,2388.03,8049.06,9.2481,0.03,368,2324,100.0,24.3,14.6406
2020-05-16,0.0027,0.0017,100.0,518.67,643.25,1595.96,1419.21,14.62,21.61,552.63,2388.18,9046.69,1.3,47.84,520.65,2388.18,8117.58,8.4483,0.03,393,2388,100.0,38.47,23.1974
2020-05-17,42.0049,0.84,100.0,445.0,549.91,1360.02,1137.89,3.91,5.72,138.53,2211.46,8306.58,1.02,42.35,130.77,2387.58,8069.51,9.4154,0.02,331,2212,100.0,10.64,6.4053
2020-05-18,0.0013,0.0,100.0,518.67,642.6,1592.73,1418.58,14.62,21.61,552.23,2388.17,9051.13,1.3,47.67,520.45,2388.21,8119.3,8.4546,0.03,392,2388,100.0,38.74,23.2
2020-05-19,35.0026,0.84,100.0,449.44,556.07,1364.28,1136.49,5.48,8.0,194.18,2222.74,8341.01,1.02,42.28,182.57,2387.83,8057.58,9.3308,0.02,335,2223,100.0,14.78,8.7806
2020-05-20,20.0045,0.7013,100.0,491.19,608.28,1481.57,1267.61,9.35,13.66,333.01,2323.98,8716.68,1.07,44.62,314.63,2388.13,8047.51,9.3039,0.02,368,2324,100.0,24.2,14.5302
2020-05-21,24.998,0.62,60.0,462.54,536.47,1267.58,1058.31,7.05,9.03,174.62,1915.12,8004.86,0.94,36.86,164.87,2027.97,7864.76,10.9242,0.02,309,1915,84.93,14.06,8.7042
2020-05-22,25.0,0.6219,60.0,462.54,536.52,1263.31,1048.66,7.05,9.03,175.33,1915.14,7997.68,0.94,37.01,164.11,2028.0,7866.28,10.952,0.02,309,1915,84.93,14.22,8.5179
2020-05-23,35.003,0.84,100.0,449.44,555.76,1373.37,1140.43,5.48,8.0,194.35,2222.68,8343.6,1.02,42.21,182.88,2387.77,8050.26,9.3875,0.02,335,2223,100.0,14.83,8.9242
2020-05-24,25.0056,0.62,60.0,462.54,537.29,1266.53,1061.97,7.05,9.03,175.01,1915.11,7998.7,0.94,36.85,164.87,2027.95,7861.75,10.9068,0.02,307,1915,84.93,14.31,8.5953
2020-05-25,34.9991,0.8409,100.0,449.44,555.99,1369.65,1144.41,5.48,8.0,193.68,2222.68,8342.06,1.02,42.44,182.38,2387.85,8058.79,9.3749,0.02,335,2223,100.0,14.79,8.8366
2020-05-26,10.0062,0.2512,100.0,489.05,605.22,1509.78,1308.64,10.52,15.5,393.39,2319.09,8764.85,1.26,45.71,370.99,2388.3,8109.57,8.7223,0.03,371,2319,100.0,28.51,17.0759
2020-05-27,0.0022,0.0019,100.0,518.67,643.12,1597.91,1422.4,14.62,21.61,552.44,2388.21,9044.86,1.3,47.79,520.1,2388.23,8118.7,8.4731,0.03,395,2388,100.0,38.91,23.2788
2020-05-28,20.0003,0.7,100.0,491.19,607.84,1491.05,1257.21,9.35,13.66,334.88,2324.0,8712.6,1.08,44.92,314.37,2388.15,8046.5,9.3054,0.03,366,2324,100.0,24.55,14.6129
2020-05-29,42.0048,0.8414,100.0,445.0,550.12,1356.97,1139.01,3.91,5.71,137.97,2211.61,8309.64,1.02,42.37,129.9,2387.64,8071.18,9.4158,0.02,331,2212,100.0,10.65,6.2579
2020-05-30,42.0071,0.84,100.0,445.0,549.86,1354.22,1135.64,3.91,5.71,138.59,2211.51,8314.42,1.02,42.39,129.49,2387.57,8067.35,9.4221,0.02,332,2212,100.0,10.4,6.3026
